sport,season,competition_name,event_i_d,event_name_short,event_gender,competition_date,name,person_i_d,person_age_days,country,rank,snatch1,snatch1_success,snatch2,snatch2_success,snatch3,snatch3_success,cj1,cj1_success,cj2,cj2_success,cj3,cj3_success,total
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,NAKIDDE Lydia,2372283,9122.0,UGA,9.0,65,True,70,True,72,True,85,True,90,True,92,True,164
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,DAVYDOVA Hanna,2405389,9416.0,UKR,4.0,94,False,94,True,100,False,112,True,117,True,121,False,211
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,BURGER Chantelle,2410837,15237.0,RSA,11.0,64,True,67,False,67,False,82,True,86,False,87,True,151
Weightlifting,2024,Phuket,200016429,64kg ,Women,2024-04-05,KAMSHAD Alzahraa M N A,2463306,11913.0,KUW,12.0,55,True,62,True,66,False,73,True,78,True,82,False,140
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,FEGUE Marie Josephe,822995,12004.0,FRA,2.0,108,True,112,True,115,True,130,True,135,False,138,False,245
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,JONG Chun Hui,1163051,9532.0,PRK,1.0,110,False,110,True,114,True,140,True,145,True,148,False,259
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,FATTOUH Mahassen Hala,1323217,12643.0,LBN,8.0,92,True,96,True,100,False,113,True,119,True,124,False,215
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,LIAO Yi-Tzu,1583511,9167.0,TPE,7.0,93,True,96,False,97,True,115,True,120,True,124,False,217
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,MENDOZA CARABALI Miyareth,1726031,10960.0,COL,3.0,103,True,106,True,110,False,130,True,134,True,137,False,240
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,OTGONCHIMEG Tugs-Erdene,1791704,6942.0,MGL,9.0,93,False,93,True,98,False,110,True,115,False,115,False,203
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,BEDWARD Shania Sophia,2258593,10096.0,CAN,4.0,101,False,102,False,102,True,127,True,132,True,135,False,234
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,GAVRAN Ivona,2358598,9137.0,CRO,10.0,80,False,80,False,80,True,100,False,100,False,100,True,180
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,WONGSING Phattharathida,2401560,6333.0,THA,5.0,93,True,97,True,100,True,120,True,125,True,131,False,225
Weightlifting,2024,Phuket,200016452,76kg ,Women,2024-04-08,ROHR Estelle Sylvia,2521188,10510.0,USA,6.0,95,True,98,False,101,False,124,True,128,True,131,False,223
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,MITYKO Veronika,1415705,8658.0,HUN,5.0,100,True,103,True,105,False,114,True,118,True,121,False,221
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,SENICOVA Nikola,1415724,8718.0,SVK,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,SUVONOVA Nigora,1958313,6761.0,UZB,6.0,95,True,99,False,99,False,122,True,125,True,127,False,220
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,MANIEVSKA Anastasiia,2036409,9344.0,UKR,3.0,103,True,105,True,107,False,124,True,126,True,129,True,234
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,KOANDA Solfrid Eila Amena,2189436,9279.0,NOR,1.0,116,True,121,False,123,True,152,True,158,False,158,False,275
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,PETERSON Eliise,2300183,11690.0,EST,4.0,96,True,101,True,104,True,116,True,121,True,123,False,225
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,ALBULOUSHI Fatemah M A M J,2408827,10489.0,KUW,7.0,63,True,68,True,71,True,85,True,90,True,95,False,161
Weightlifting,2024,Phuket,200017531,87kg ,Women,2024-04-09,KIM Yong Ju,2521189,,PRK,2.0,108,False,108,True,113,True,135,True,145,True,148,False,258
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,DAJOMES BARRERA Neisi Patricia,941130,9464.0,ECU,1.0,118,True,121,True,123,True,143,True,146,True,0,False,269
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,VALDES PARIS Maria Fernanda,725033,11711.0,CHI,21.0,98,True,100,False,100,False,123,False,123,True,0,False,221
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,CHIRINOS LEON Dayana Aracelis,795567,11876.0,VEN,13.0,105,False,105,False,105,True,135,True,138,False,139,False,240
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,FUENTES ZAVALA Aremi,858496,11279.0,MEX,,105,False,105,False,105,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,MUNKHJANTSAN Ankhtsetseg,858593,9602.0,MGL,,105,True,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,LO Ying-Yuan,941146,10199.0,TPE,18.0,100,False,100,True,105,False,125,True,129,True,132,False,229
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,SALAZAR ARCE Tamara Yajaira,1144466,9740.0,ECU,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,KIM Suhyeon,1144596,10539.0,KOR,5.0,108,True,112,False,112,True,140,False,144,False,144,True,256
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,AHMED Sara Samir Elsayed Mohamed,1236711,9595.0,EGY,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,WANG Zhouyu,1236971,10924.0,CHN,2.0,120,True,125,False,125,False,147,True,150,False,150,False,267
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,LAYLOR Maya Celeste,1275607,10507.0,CAN,16.0,102,True,106,False,106,False,132,True,136,False,136,False,234
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,ROGERS Martha Ann,1275616,10457.0,USA,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,CIKAMATANA Eileen Floanna Maria,1343887,8970.0,AUS,3.0,110,True,114,False,114,True,145,True,149,True,153,False,263
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,BRAZAITE Gintare,1349924,11556.0,LTU,20.0,96,False,97,True,102,False,115,True,120,True,125,True,222
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,FEKLISTOVA Katrina,1353701,9865.0,GBR,17.0,102,False,102,True,107,False,124,True,127,True,130,False,229
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,NOLASCO HERNANDEZ Lizbeth Gabriela,1378048,9021.0,MEX,15.0,105,False,105,True,108,True,123,True,127,True,130,True,238
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,MEDINA ROCA Ayamey Damiana,1407464,9544.0,CUB,,0,False,0,False,0,False,0,False,0,False,0,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,NASCIMENTO AMARO Laura,1475761,8565.0,BRA,8.0,107,True,110,True,112,True,133,False,137,True,141,True,253
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,LIANG Xiaomei,1506948,9698.0,CHN,7.0,110,True,113,False,113,True,140,True,148,False,148,False,253
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,NARIN Dilara,1645384,8059.0,TUR,,98,False,100,False,100,False,125,True,130,False,132,False,0
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,VIBERT Katherine Elizabeth,1818364,9226.0,USA,4.0,109,True,113,True,116,False,140,True,145,True,151,False,258
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,ADASHBAEVA Rigina,1920580,8198.0,UZB,14.0,104,True,107,True,109,False,132,True,136,False,138,False,239
Weightlifting,2024,Phuket,200017528,81kg ,Women,2024-04-09,ZIELINSKA STUBINSKA Weronika,1920969,9825.0,POL,10.0,107,False,107,True,110,True,131,True,135,False,136,False,241
