name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
STERCKX Nina,BEL,96,100,102,111,116,121,216,True,True,False,True,True,False
KUO Hsing-Chun,TPE,98,100,102,125,130,0,230,True,True,False,True,True,False
ANDO Elreen Ann,PHI,98,100,102,125,125,128,228,True,True,False,False,True,True
ALVAREZ CAICEDO Yenny Fernanda,COL,98,98,100,125,130,130,225,False,True,True,True,False,False
SASSER Mathlynn Langtor,MHL,94,97,99,113,117,120,216,True,True,True,True,True,False
MAGISTRIS Lucrezia,ITA,99,102,103,115,115,115,214,True,False,False,False,False,True
DIAZ Hidilyn,PHI,95,99,101,123,127,127,222,True,True,False,True,False,False
BETEYOB Natasya,INA,94,98,100,115,124,124,213,True,True,False,True,False,False
SARAH,INA,93,96,100,113,117,117,209,True,True,False,True,False,False
QUANG Thi Tam,VIE,96,96,99,116,122,122,212,False,True,False,True,False,False
ELLIOTT Kiana Rose,AUS,95,98,99,112,114,118,209,True,False,False,True,True,False
YODSARN Suratwadee,THA,92,95,97,123,123,127,0,True,True,False,False,False,False
HAN Jian,KOR,93,95,99,107,112,115,207,False,True,False,True,True,False
COTRUTA Andreea,ROU,90,93,94,113,118,118,207,True,False,True,True,False,False
RETULAINEN Saara Sylvia Amanda,FIN,94,97,97,124,124,124,0,True,False,False,False,False,False
ANDOH Mikiko,JPN,92,94,94,121,126,126,213,True,False,False,True,False,False
SHERMETOVA Kristina,TKM,91,91,94,111,111,115,0,False,True,False,False,False,False
GEORGOPOULOU Sofia,GRE,85,90,90,105,110,110,195,True,False,True,True,False,False
GUILLEN VAZQUEZ Daphne,MEX,90,90,95,117,117,117,0,False,True,False,False,False,False
MOORE Shayla Mariah,USA,82,85,88,110,110,115,203,True,True,True,False,True,True
KARDARA Maria,GRE,84,87,90,103,105,107,192,True,True,False,True,True,False
CHIU Yu Ling,TPE,82,84,86,110,111,115,201,True,True,True,False,True,True
CRYMBLE Hannah,IRL,82,85,85,100,103,104,185,True,False,True,True,False,False
SMITH Zoe,GBR,85,85,88,109,113,116,198,False,True,False,True,True,False
SHEPARD Kayla,CAN,79,83,83,104,108,110,191,True,False,True,True,True,False
ENKHBAATAR Enkhtamir,MGL,83,83,86,100,104,107,187,False,True,False,True,True,False
MEISTER Scheila,SUI,78,80,82,100,100,104,182,True,True,True,False,True,False
BALABAYUK Darya,KAZ,78,81,82,95,99,101,181,True,False,True,True,True,False
CASADEVALL Maria Luz,ARG,80,87,95,101,105,120,185,True,False,False,True,True,False
LIFU Mary Kini,SOL,67,70,72,85,90,93,160,True,True,False,True,True,False
SPIES Anneke,RSA,80,80,80,96,99,102,0,False,False,False,True,True,False
KONOTOP Kamila,UKR,0,0,0,0,0,0,0,False,False,False,False,False,False
WILKINS Taylor Nicole,USA,97,98,98,0,0,0,0,False,False,False,False,False,False
ANDERSSON Ine Drablos,NOR,90,91,91,113,113,119,0,False,False,False,False,True,False
GOMEZ VALDIVIA Janeth,MEX,97,97,100,0,0,0,0,False,False,False,False,False,False
